GO:0000015	phosphopyruvate hydratase complex
GO:0002095	caveolar macromolecular signaling complex
GO:0002096	polkadots
GO:0002111	BRCA2-BRAF35 complex
GO:0002116	semaphorin receptor complex
GO:0002133	polycystin complex
GO:0002142	stereocilia ankle link complex
GO:0002144	cytosolic tRNA wobble base thiouridylase complex
GO:0002167	VRK3/VHR/ERK complex
GO:0002169	3-methylcrotonyl-CoA carboxylase complex, mitochondrial
GO:0002178	palmitoyltransferase complex
GO:0002179	homodimeric serine palmitoyltransferase complex
GO:0002180	5-lipoxygenase complex
GO:0002185	creatine kinase complex
GO:0002186	cytosolic creatine kinase complex
GO:0002187	mitochondrial creatine kinase complex
GO:0002189	ribose phosphate diphosphokinase complex
GO:0002193	MAML1-RBP-Jkappa- ICN1 complex
GO:0002197	xanthine dehydrogenase complex
GO:0002199	zona pellucida receptor complex
GO:0002929	MECO complex
GO:0002944	cyclin K-CDK12 complex
GO:0002945	cyclin K-CDK13 complex
GO:0002947	tumor necrosis factor receptor superfamily complex
GO:0005577	fibrinogen complex
GO:0005579	membrane attack complex
GO:0005581	collagen trimer
GO:0005582	collagen type XV trimer
GO:0005583	fibrillar collagen trimer
GO:0005584	collagen type I trimer
GO:0005585	collagen type II trimer
GO:0005586	collagen type III trimer
GO:0005587	collagen type IV trimer
GO:0005588	collagen type V trimer
GO:0005589	collagen type VI trimer
GO:0005590	collagen type VII trimer
GO:0005591	collagen type VIII trimer
GO:0005592	collagen type XI trimer
GO:0005593	FACIT collagen trimer
GO:0005594	collagen type IX trimer
GO:0005595	collagen type XII trimer
GO:0005596	collagen type XIV trimer
GO:0005597	collagen type XVI trimer
GO:0005598	short-chain collagen trimer
GO:0005599	collagen type X trimer
GO:0005600	collagen type XIII trimer
GO:0005601	classical-complement-pathway C3/C5 convertase complex
GO:0005602	complement component C1 complex
GO:0005606	laminin-1 complex
GO:0005607	laminin-2 complex
GO:0005608	laminin-3 complex
GO:0005609	laminin-4 complex
GO:0005610	laminin-5 complex
GO:0005611	laminin-6 complex
GO:0005612	laminin-7 complex
GO:0005616	larval serum protein complex
GO:0005643	nuclear pore
GO:0005655	nucleolar ribonuclease P complex
GO:0005656	nuclear pre-replicative complex
GO:0005658	alpha DNA polymerase:primase complex
GO:0005662	DNA replication factor A complex
GO:0005663	DNA replication factor C complex
GO:0005664	nuclear origin of replication recognition complex
GO:0005665	RNA polymerase II, core complex
GO:0005666	RNA polymerase III complex
GO:0005667	transcription regulator complex
GO:0005668	RNA polymerase transcription factor SL1 complex
GO:0005669	transcription factor TFIID complex
GO:0005671	Ada2/Gcn5/Ada3 transcription activator complex
GO:0005672	transcription factor TFIIA complex
GO:0005673	transcription factor TFIIE complex
GO:0005674	transcription factor TFIIF complex
GO:0005675	transcription factor TFIIH holo complex
GO:0005677	chromatin silencing complex
GO:0005680	anaphase-promoting complex
GO:0005681	spliceosomal complex
GO:0005682	U5 snRNP
GO:0005683	U7 snRNP
GO:0005684	U2-type spliceosomal complex
GO:0005685	U1 snRNP
GO:0005686	U2 snRNP
GO:0005687	U4 snRNP
GO:0005688	U6 snRNP
GO:0005689	U12-type spliceosomal complex
GO:0005690	U4atac snRNP
GO:0005691	U6atac snRNP
GO:0005692	U11 snRNP
GO:0005693	U12 snRNP
GO:0005697	telomerase holoenzyme complex
GO:0005732	small nucleolar ribonucleoprotein complex
GO:0005736	RNA polymerase I complex
GO:0005742	mitochondrial outer membrane translocase complex
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex
GO:0005745	m-AAA complex
GO:0005747	mitochondrial respiratory chain complex I
GO:0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
GO:0005750	mitochondrial respiratory chain complex III
GO:0005751	mitochondrial respiratory chain complex IV
GO:0005753	mitochondrial proton-transporting ATP synthase complex
GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core
GO:0005756	mitochondrial proton-transporting ATP synthase, central stalk
GO:0005757	mitochondrial permeability transition pore complex
GO:0005760	gamma DNA polymerase complex
GO:0005762	mitochondrial large ribosomal subunit
GO:0005763	mitochondrial small ribosomal subunit
GO:0005784	Sec61 translocon complex
GO:0005785	signal recognition particle receptor complex
GO:0005786	signal recognition particle, endoplasmic reticulum targeting
GO:0005787	signal peptidase complex
GO:0005831	steroid hormone aporeceptor complex
GO:0005832	chaperonin-containing T-complex
GO:0005833	hemoglobin complex
GO:0005834	heterotrimeric G-protein complex
GO:0005835	fatty acid synthase complex
GO:0005836	fatty-acyl-CoA synthase complex
GO:0005838	proteasome regulatory particle
GO:0005839	proteasome core complex
GO:0005844	polysome
GO:0005845	mRNA cap binding complex
GO:0005846	nuclear cap binding complex
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex
GO:0005848	mRNA cleavage stimulating factor complex
GO:0005849	mRNA cleavage factor complex
GO:0005850	eukaryotic translation initiation factor 2 complex
GO:0005851	eukaryotic translation initiation factor 2B complex
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0005853	eukaryotic translation elongation factor 1 complex
GO:0005854	nascent polypeptide-associated complex
GO:0005858	axonemal dynein complex
GO:0005859	muscle myosin complex
GO:0005861	troponin complex
GO:0005862	muscle thin filament tropomyosin
GO:0005868	cytoplasmic dynein complex
GO:0005869	dynactin complex
GO:0005870	actin capping protein of dynactin complex
GO:0005871	kinesin complex
GO:0005872	minus-end kinesin complex
GO:0005873	plus-end kinesin complex
GO:0005875	microtubule associated complex
GO:0005885	Arp2/3 protein complex
GO:0005889	potassium:proton exchanging ATPase complex
GO:0005890	sodium:potassium-exchanging ATPase complex
GO:0005891	voltage-gated calcium channel complex
GO:0005892	acetylcholine-gated channel complex
GO:0005893	interleukin-2 receptor complex
GO:0005894	interleukin-3 receptor complex
GO:0005895	interleukin-5 receptor complex
GO:0005896	interleukin-6 receptor complex
GO:0005897	interleukin-9 receptor complex
GO:0005898	interleukin-13 receptor complex
GO:0005899	insulin receptor complex
GO:0005900	oncostatin-M receptor complex
GO:0005922	connexin complex
GO:0005931	axonemal nexin link
GO:0005942	phosphatidylinositol 3-kinase complex
GO:0005943	phosphatidylinositol 3-kinase complex, class IA
GO:0005944	phosphatidylinositol 3-kinase complex, class IB
GO:0005945	6-phosphofructokinase complex
GO:0005946	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)
GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex
GO:0005948	acetolactate synthase complex
GO:0005950	anthranilate synthase complex
GO:0005951	carbamoyl-phosphate synthase complex
GO:0005952	cAMP-dependent protein kinase complex
GO:0005953	CAAX-protein geranylgeranyltransferase complex
GO:0005954	calcium- and calmodulin-dependent protein kinase complex
GO:0005955	calcineurin complex
GO:0005956	protein kinase CK2 complex
GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex
GO:0005960	glycine cleavage complex
GO:0005962	mitochondrial isocitrate dehydrogenase complex (NAD+)
GO:0005963	magnesium-dependent protein serine/threonine phosphatase complex
GO:0005964	phosphorylase kinase complex
GO:0005965	protein farnesyltransferase complex
GO:0005966	cyclic-nucleotide phosphodiesterase complex
GO:0005967	mitochondrial pyruvate dehydrogenase complex
GO:0005968	Rab-protein geranylgeranyltransferase complex
GO:0005969	serine-pyruvate aminotransferase complex
GO:0005971	ribonucleoside-diphosphate reductase complex
GO:0008023	transcription elongation factor complex
GO:0008024	cyclin/CDK positive transcription elongation factor complex
GO:0008043	intracellular ferritin complex
GO:0008074	guanylate cyclase complex, soluble
GO:0008076	voltage-gated potassium channel complex
GO:0008087	light-activated voltage-gated calcium channel complex
GO:0008091	spectrin
GO:0008180	COP9 signalosome
GO:0008230	ecdysone receptor holocomplex
GO:0008231	repressor ecdysone receptor complex
GO:0008232	activator ecdysone receptor complex
GO:0008247	1-alkyl-2-acetylglycerophosphocholine esterase complex
GO:0008250	oligosaccharyltransferase complex
GO:0008274	gamma-tubulin ring complex
GO:0008275	gamma-tubulin small complex
GO:0008278	cohesin complex
GO:0008282	inward rectifying potassium channel
GO:0008287	protein serine/threonine phosphatase complex
GO:0008290	F-actin capping protein complex
GO:0008303	caspase complex
GO:0008305	integrin complex
GO:0008328	ionotropic glutamate receptor complex
GO:0008352	katanin complex
GO:0008385	IkappaB kinase complex
GO:0008537	proteasome activator complex
GO:0008540	proteasome regulatory particle, base subcomplex
GO:0008541	proteasome regulatory particle, lid subcomplex
GO:0008622	epsilon DNA polymerase complex
GO:0008623	CHRAC
GO:0009316	3-isopropylmalate dehydratase complex
GO:0009317	acetyl-CoA carboxylase complex
GO:0009318	exodeoxyribonuclease VII complex
GO:0009319	cytochrome o ubiquinol oxidase complex
GO:0009320	phosphoribosylaminoimidazole carboxylase complex
GO:0009321	alkyl hydroperoxide reductase complex
GO:0009322	trimethylamine-N-oxide reductase complex
GO:0009323	ribosomal-protein-alanine N-acetyltransferase complex
GO:0009324	D-amino-acid dehydrogenase complex
GO:0009325	nitrate reductase complex
GO:0009326	formate dehydrogenase complex
GO:0009327	NAD(P)+ transhydrogenase complex (AB-specific)
GO:0009328	phenylalanine-tRNA ligase complex
GO:0009329	acetate CoA-transferase complex
GO:0009330	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex
GO:0009331	glycerol-3-phosphate dehydrogenase complex
GO:0009332	glutamate-tRNA ligase complex
GO:0009333	cysteine synthase complex
GO:0009334	3-phenylpropionate dioxygenase complex
GO:0009336	sulfate adenylyltransferase complex (ATP)
GO:0009337	sulfite reductase complex (NADPH)
GO:0009338	exodeoxyribonuclease V complex
GO:0009339	glycolate oxidase complex
GO:0009340	DNA topoisomerase IV complex
GO:0009341	beta-galactosidase complex
GO:0009342	glutamate synthase complex (NADPH)
GO:0009343	biotin carboxylase complex
GO:0009344	nitrite reductase complex [NAD(P)H]
GO:0009345	glycine-tRNA ligase complex
GO:0009346	citrate lyase complex
GO:0009347	aspartate carbamoyltransferase complex
GO:0009348	ornithine carbamoyltransferase complex
GO:0009349	riboflavin synthase complex
GO:0009350	ethanolamine ammonia-lyase complex
GO:0009353	mitochondrial oxoglutarate dehydrogenase complex
GO:0009355	DNA polymerase V complex
GO:0009356	aminodeoxychorismate synthase complex
GO:0009357	protein-N(PI)-phosphohistidine-sugar phosphotransferase complex
GO:0009358	polyphosphate kinase complex
GO:0009359	type II site-specific deoxyribonuclease complex
GO:0009360	DNA polymerase III complex
GO:0009361	succinate-CoA ligase complex (ADP-forming)
GO:0009365	protein histidine kinase complex
GO:0009366	enterobactin synthetase complex
GO:0009368	endopeptidase Clp complex
GO:0009375	ferredoxin hydrogenase complex
GO:0009376	HslUV protease complex
GO:0009379	Holliday junction helicase complex
GO:0009380	excinuclease repair complex
GO:0009382	imidazoleglycerol-phosphate synthase complex
GO:0009390	dimethyl sulfoxide reductase complex
GO:0009503	thylakoid light-harvesting complex
GO:0009512	cytochrome b6f complex
GO:0009517	PSII associated light-harvesting complex II
GO:0009518	PSI associated light-harvesting complex I
GO:0009521	photosystem
GO:0009522	photosystem I
GO:0009523	photosystem II
GO:0009538	photosystem I reaction center
GO:0009539	photosystem II reaction center
GO:0009544	chloroplast ATP synthase complex
GO:0009573	chloroplast ribulose bisphosphate carboxylase complex
GO:0009654	photosystem II oxygen evolving complex
GO:0009655	PSII associated light-harvesting complex II, core complex
GO:0009656	PSII associated light-harvesting complex II, peripheral complex
GO:0009782	photosystem I antenna complex
GO:0009783	photosystem II antenna complex
GO:0009840	chloroplastic endopeptidase Clp complex
GO:0009841	mitochondrial endopeptidase Clp complex
GO:0009921	auxin efflux carrier complex
GO:0009923	fatty acid elongase complex
GO:0010006	Toc complex
GO:0010007	magnesium chelatase complex
GO:0010169	thioglucosidase complex
GO:0010170	glucose-1-phosphate adenylyltransferase complex
GO:0010240	plastid pyruvate dehydrogenase complex
GO:0010278	chloroplast outer membrane translocon
GO:0010316	pyrophosphate-dependent phosphofructokinase complex
GO:0010317	pyrophosphate-dependent phosphofructokinase complex, alpha-subunit complex
GO:0010318	pyrophosphate-dependent phosphofructokinase complex, beta-subunit complex
GO:0010330	cellulose synthase complex
GO:0010367	extracellular isoamylase complex
GO:0010368	chloroplast isoamylase complex
GO:0010598	NAD(P)H dehydrogenase complex (plastoquinone)
GO:0015050	methane monooxygenase complex
GO:0015627	type II protein secretion system complex
GO:0015934	large ribosomal subunit
GO:0015935	small ribosomal subunit
GO:0016010	dystrophin-associated glycoprotein complex
GO:0016011	dystroglycan complex
GO:0016012	sarcoglycan complex
GO:0016013	syntrophin complex
GO:0016014	dystrobrevin complex
GO:0016027	inaD signaling complex
GO:0016035	zeta DNA polymerase complex
GO:0016222	procollagen-proline 4-dioxygenase complex
GO:0016272	prefoldin complex
GO:0016281	eukaryotic translation initiation factor 4F complex
GO:0016282	eukaryotic 43S preinitiation complex
GO:0016342	catenin complex
GO:0016442	RISC complex
GO:0016456	X chromosome located dosage compensation complex, transcription activating
GO:0016459	myosin complex
GO:0016460	myosin II complex
GO:0016461	unconventional myosin complex
GO:0016465	chaperonin ATPase complex
GO:0016469	proton-transporting two-sector ATPase complex
GO:0016471	vacuolar proton-transporting V-type ATPase complex
GO:0016472	sodium ion-transporting two-sector ATPase complex
GO:0016473	sodium ion-transporting F-type ATPase complex
GO:0016474	sodium ion-transporting V-type ATPase complex
GO:0016507	mitochondrial fatty acid beta-oxidation multienzyme complex
GO:0016513	core-binding factor complex
GO:0016514	SWI/SNF complex
GO:0016516	interleukin-4 receptor complex
GO:0016533	protein kinase 5 complex
GO:0016580	Sin3 complex
GO:0016581	NuRD complex
GO:0016586	RSC-type complex
GO:0016587	Isw1 complex
GO:0016589	NURF complex
GO:0016590	ACF complex
GO:0016591	RNA polymerase II, holoenzyme
GO:0016592	mediator complex
GO:0016593	Cdc73/Paf1 complex
GO:0016600	flotillin complex
GO:0016602	CCAAT-binding factor complex
GO:0016610	nitrogenase complex
GO:0016611	iron-iron nitrogenase complex
GO:0016612	molybdenum-iron nitrogenase complex
GO:0016613	vanadium-iron nitrogenase complex
GO:0016914	follicle-stimulating hormone complex
GO:0016935	glycine-gated chloride channel complex
GO:0016938	kinesin I complex
GO:0016939	kinesin II complex
GO:0016942	insulin-like growth factor binding protein complex
GO:0017023	myosin phosphatase complex
GO:0017053	transcription repressor complex
GO:0017054	negative cofactor 2 complex
GO:0017059	serine C-palmitoyltransferase complex
GO:0017071	intracellular cyclic nucleotide activated cation channel complex
GO:0017086	3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex
GO:0017087	mitochondrial processing peptidase complex
GO:0017090	meprin A complex
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex
GO:0017102	methionyl glutamyl tRNA synthetase complex
GO:0017109	glutamate-cysteine ligase complex
GO:0017117	single-stranded DNA-dependent ATP-dependent DNA helicase complex
GO:0017119	Golgi transport complex
GO:0017122	protein N-acetylglucosaminyltransferase complex
GO:0017133	mitochondrial electron transfer flavoprotein complex
GO:0017146	NMDA selective glutamate receptor complex
GO:0017177	glucosidase II complex
GO:0018444	translation release factor complex
GO:0019005	SCF ubiquitin ligase complex
GO:0019008	molybdopterin synthase complex
GO:0019035	viral integration complex
GO:0019036	viral transcriptional complex
GO:0019183	histamine-gated chloride channel complex
GO:0019185	snRNA-activating protein complex
GO:0019197	phosphoenolpyruvate-dependent sugar phosphotransferase complex
GO:0019773	proteasome core complex, alpha-subunit complex
GO:0019774	proteasome core complex, beta-subunit complex
GO:0019812	type I site-specific deoxyribonuclease complex
GO:0019813	type III site-specific deoxyribonuclease complex
GO:0019814	immunoglobulin complex
GO:0019815	B cell receptor complex
GO:0019907	cyclin-dependent protein kinase activating kinase holoenzyme complex
GO:0019908	nuclear cyclin-dependent protein kinase holoenzyme complex
GO:0019910	mitochondrial pyruvate dehydrogenase (lipoamide) phosphatase complex
GO:0022623	proteasome-activating nucleotidase complex
GO:0022624	proteasome accessory complex
GO:0022625	cytosolic large ribosomal subunit
GO:0022627	cytosolic small ribosomal subunit
GO:0022628	chloroplast large ribosomal subunit
GO:0022629	chloroplast small ribosomal subunit
GO:0030008	TRAPP complex
GO:0030014	CCR4-NOT complex
GO:0030015	CCR4-NOT core complex
GO:0030062	mitochondrial tricarboxylic acid cycle enzyme complex
GO:0030076	light-harvesting complex
GO:0030077	plasma membrane light-harvesting complex
GO:0030078	light-harvesting complex, core complex
GO:0030079	light-harvesting complex, peripheral complex
GO:0030080	B875 antenna complex
GO:0030081	B800-820 antenna complex
GO:0030082	B800-850 antenna complex
GO:0030083	PSI associated light-harvesting complex I, LHCIa subcomplex
GO:0030084	PSI associated light-harvesting complex I, LHCIb subcomplex
GO:0030085	PSII associated light-harvesting complex II, peripheral complex, LHCIIb subcomplex
GO:0030089	phycobilisome
GO:0030093	chloroplast photosystem I
GO:0030094	plasma membrane-derived photosystem I
GO:0030095	chloroplast photosystem II
GO:0030096	plasma membrane-derived thylakoid photosystem II
GO:0030117	membrane coat
GO:0030118	clathrin coat
GO:0030119	AP-type membrane coat adaptor complex
GO:0030120	vesicle coat
GO:0030121	AP-1 adaptor complex
GO:0030122	AP-2 adaptor complex
GO:0030123	AP-3 adaptor complex
GO:0030124	AP-4 adaptor complex
GO:0030125	clathrin vesicle coat
GO:0030126	COPI vesicle coat
GO:0030127	COPII vesicle coat
GO:0030128	clathrin coat of endocytic vesicle
GO:0030129	clathrin coat of synaptic vesicle
GO:0030130	clathrin coat of trans-Golgi network vesicle
GO:0030131	clathrin adaptor complex
GO:0030132	clathrin coat of coated pit
GO:0030232	insulin control element activator complex
GO:0030256	type I protein secretion system complex
GO:0030257	type III protein secretion system complex
GO:0030286	dynein complex
GO:0030289	protein phosphatase 4 complex
GO:0030314	junctional membrane complex
GO:0030386	ferredoxin:thioredoxin reductase complex
GO:0030526	granulocyte macrophage colony-stimulating factor receptor complex
GO:0030532	small nuclear ribonucleoprotein complex
GO:0030677	ribonuclease P complex
GO:0030678	mitochondrial ribonuclease P complex
GO:0030679	cyanelle ribonuclease P complex
GO:0030680	dimeric ribonuclease P complex
GO:0030681	multimeric ribonuclease P complex
GO:0030684	preribosome
GO:0030685	nucleolar preribosome
GO:0030686	90S preribosome
GO:0030687	preribosome, large subunit precursor
GO:0030688	preribosome, small subunit precursor
GO:0030689	Noc complex
GO:0030690	Noc1p-Noc2p complex
GO:0030691	Noc2p-Noc3p complex
GO:0030692	Noc4p-Nop14p complex
GO:0030700	glycine reductase complex
GO:0030869	RENT complex
GO:0030870	Mre11 complex
GO:0030876	interleukin-20 receptor complex
GO:0030877	beta-catenin destruction complex
GO:0030880	RNA polymerase complex
GO:0030891	VCB complex
GO:0030892	mitotic cohesin complex
GO:0030893	meiotic cohesin complex
GO:0030894	replisome
GO:0030895	apolipoprotein B mRNA editing enzyme complex
GO:0030896	checkpoint clamp complex
GO:0030897	HOPS complex
GO:0030904	retromer complex
GO:0030905	retromer, tubulation complex
GO:0030906	retromer, cargo-selective complex
GO:0030907	MBF transcription complex
GO:0030914	STAGA complex
GO:0030915	Smc5-Smc6 complex
GO:0030929	ADPG pyrophosphorylase complex
GO:0030930	homotetrameric ADPG pyrophosphorylase complex
GO:0030931	heterotetrameric ADPG pyrophosphorylase complex
GO:0030932	amyloplast ADPG pyrophosphorylase complex
GO:0030933	chloroplast ADPG pyrophosphorylase complex
GO:0030934	anchoring collagen complex
GO:0030935	sheet-forming collagen trimer
GO:0030936	transmembrane collagen trimer
GO:0030937	collagen type XVII trimer
GO:0030938	collagen type XVIII trimer
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex
GO:0030958	RITS complex
GO:0030964	NADH dehydrogenase complex
GO:0030988	high molecular weight kininogen receptor complex
GO:0030990	intraciliary transport particle
GO:0030991	intraciliary transport particle A
GO:0030992	intraciliary transport particle B
GO:0030993	axonemal heterotrimeric kinesin-II complex
GO:0031004	potassium ion-transporting ATPase complex
GO:0031009	plastid ADPG pyrophosphorylase complex
GO:0031010	ISWI-type complex
GO:0031011	Ino80 complex
GO:0031019	mitochondrial mRNA editing complex
GO:0031020	plastid mRNA editing complex
GO:0031026	glutamate synthase complex
GO:0031027	glutamate synthase complex (NADH)
GO:0031074	nucleocytoplasmic transport complex
GO:0031080	nuclear pore outer ring
GO:0031082	BLOC complex
GO:0031083	BLOC-1 complex
GO:0031084	BLOC-2 complex
GO:0031085	BLOC-3 complex
GO:0031105	septin complex
GO:0031201	SNARE complex
GO:0031205	endoplasmic reticulum Sec complex
GO:0031207	Sec62/Sec63 complex
GO:0031209	SCAR complex
GO:0031211	endoplasmic reticulum palmitoyltransferase complex
GO:0031213	RSF complex
GO:0031248	protein acetyltransferase complex
GO:0031250	anaerobic ribonucleoside-triphosphate reductase complex
GO:0031251	PAN complex
GO:0031261	DNA replication preinitiation complex
GO:0031262	Ndc80 complex
GO:0031264	death-inducing signaling complex
GO:0031265	CD95 death-inducing signaling complex
GO:0031266	TRAIL death-inducing signaling complex
GO:0031298	replication fork protection complex
GO:0031317	tripartite ATP-independent periplasmic transporter complex
GO:0031332	RNAi effector complex
GO:0031371	ubiquitin conjugating enzyme complex
GO:0031372	UBC13-MMS2 complex
GO:0031379	RNA-directed RNA polymerase complex
GO:0031380	nuclear RNA-directed RNA polymerase complex
GO:0031381	viral RNA-directed RNA polymerase complex
GO:0031387	MPF complex
GO:0031389	Rad17 RFC-like complex
GO:0031390	Ctf18 RFC-like complex
GO:0031391	Elg1 RFC-like complex
GO:0031395	bursicon neuropeptide hormone complex
GO:0031414	N-terminal protein acetyltransferase complex
GO:0031415	NatA complex
GO:0031416	NatB complex
GO:0031417	NatC complex
GO:0031421	invertasome
GO:0031422	RecQ family helicase-topoisomerase III complex
GO:0031428	box C/D snoRNP complex
GO:0031429	box H/ACA snoRNP complex
GO:0031431	Dbf4-dependent protein kinase complex
GO:0031436	BRCA1-BARD1 complex
GO:0031461	cullin-RING ubiquitin ligase complex
GO:0031462	Cul2-RING ubiquitin ligase complex
GO:0031463	Cul3-RING ubiquitin ligase complex
GO:0031464	Cul4A-RING E3 ubiquitin ligase complex
GO:0031465	Cul4B-RING E3 ubiquitin ligase complex
GO:0031466	Cul5-RING ubiquitin ligase complex
GO:0031467	Cul7-RING ubiquitin ligase complex
GO:0031474	myosin IV complex
GO:0031475	myosin V complex
GO:0031476	myosin VI complex
GO:0031477	myosin VII complex
GO:0031478	myosin VIII complex
GO:0031479	myosin IX complex
GO:0031480	myosin X complex
GO:0031481	myosin XI complex
GO:0031482	myosin XII complex
GO:0031483	myosin XIII complex
GO:0031484	myosin XIV complex
GO:0031485	myosin XV complex
GO:0031486	myosin XVI complex
GO:0031487	myosin XVII complex
GO:0031488	myosin XVIII complex
GO:0031499	TRAMP complex
GO:0031500	Tea1 cell-end complex
GO:0031501	mannosyltransferase complex
GO:0031502	dolichyl-phosphate-mannose-protein mannosyltransferase complex
GO:0031510	SUMO activating enzyme complex
GO:0031511	Mis6-Sim4 complex
GO:0031515	tRNA (m1A) methyltransferase complex
GO:0031518	CBF3 complex
GO:0031519	PcG protein complex
GO:0031521	spitzenkorper
GO:0031522	cell envelope Sec protein transport complex
GO:0031523	Myb complex
GO:0031533	mRNA cap methyltransferase complex
GO:0031560	cellular bud neck polarisome
GO:0031561	cellular bud tip polarisome
GO:0031562	hyphal tip polarisome
GO:0031563	mating projection tip polarisome
GO:0031588	nucleotide-activated protein kinase complex
GO:0031595	nuclear proteasome complex
GO:0031597	cytosolic proteasome complex
