MGI:101922	Tnc	MGI:2148541	Tnc<tm1Fas>	MGI:2148541	Tnc<tm1Fas>	involves: 129/Sv # 129S2/SvPas 	no obvious phenotype: no defect detected	33828	TAS		
MGI:104537	Brca1	MGI:1930612	Brca1<tm1Cxd>	MGI:1930612	Brca1<tm1Cxd>	involves: 129S6/SvEvTac # C57BL/6	growth/weight abnormality: embryonic	51834	TAS
MGI:104537	Brca1	MGI:1930612	Brca1<tm1Cxd>	MGI:1930612	Brca1<tm1Cxd>	involves: 129S6/SvEvTac # C57BL/6	embryogenesis: embryonic tissue dysmorphology	51834	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # C57BL/6	survival: embryonic lethality	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # C57BL/6	growth/weight abnormality: embryonic	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # C57BL/6	embryogenesis: developmental patterning abnormalities	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # C57BL/6	embryogenesis: extraembryonic tissue dysmorphology	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:2152435	Brca1<+>	involves: 129P2/OlaHsd # C57BL/6	no obvious phenotype: no defect detected	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # CD1	survival: embryonic lethality	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # CD1	growth/weight abnormality: embryonic	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # CD1	embryogenesis: developmental patterning abnormalities	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # CD1	embryogenesis: extraembryonic tissue dysmorphology	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:2152435	Brca1<+>	involves: 129P2/OlaHsd # CD1	no obvious phenotype: no defect detected	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # C3H	survival: embryonic lethality	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # C3H	growth/weight abnormality: embryonic	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # C3H	embryogenesis: developmental patterning abnormalities	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:1858108	Brca1<tm1Mak>	involves: 129P2/OlaHsd # C3H	embryogenesis: extraembryonic tissue dysmorphology	33880	TAS
MGI:104537	Brca1	MGI:1858108	Brca1<tm1Mak>	MGI:2152435	Brca1<+>	involves: 129P2/OlaHsd # C3H	no obvious phenotype: no defect detected	33880	TAS
MGI:104537	Brca1	MGI:1858107	Brca1<tm1Whl>	MGI:1858107	Brca1<tm1Whl>	involves: 129P2/OlaHsd # C57BL/6J	survival: embryonic lethality	34458	TAS
MGI:104537	Brca1	MGI:1858107	Brca1<tm1Whl>	MGI:1858107	Brca1<tm1Whl>	involves: 129P2/OlaHsd # C57BL/6J	growth/weight abnormality: embryonic	34458	TAS
MGI:104537	Brca1	MGI:1858107	Brca1<tm1Whl>	MGI:1858107	Brca1<tm1Whl>	involves: 129P2/OlaHsd # C57BL/6J	embryogenesis: embryonic tissue dysmorphology	34458	TAS
MGI:104537	Brca1	MGI:1858107	Brca1<tm1Whl>	MGI:1858107	Brca1<tm1Whl>	involves: 129P2/OlaHsd # C57BL/6J	embryogenesis: developmental patterning abnormalities	34458	TAS
MGI:104537	Brca1	MGI:1858107	Brca1<tm1Whl>	MGI:2152435	Brca1<+>	involves: 129P2/OlaHsd # C57BL/6J	no obvious phenotype: no defect detected	34458	TAS
MGI:104537	Brca1	MGI:1931238	Brca1<tm2Cxd>	MGI:1931238	Brca1<tm2Cxd>	involves: 129S6/SvEvTac # NIH Black Swiss	no obvious phenotype: no defect detected	54533	TAS
MGI:109638	Clns1a	MGI:1934011	Clns1a<tm1Kwn>	MGI:1934011	Clns1a<tm1Kwn>	involves: 129/Sv # C57BL/6J	survival: embryonic lethality	61831	TAS
MGI:109638	Clns1a	MGI:1934011	Clns1a<tm1Kwn>	MGI:2152563	Clns1a<+>	involves: 129/Sv # C57BL/6J	no obvious phenotype: no defect detected	61831	TAS
MGI:97530	Pdgfra	MGI:1926728	Pdgfra<tm2Sor>	MGI:1926728	Pdgfra<tm2Sor>	either: (129S4/SvJaeSor-Pdgfra<tm2Sor>) # (involves: 129S4/SvJaeSor # C57BL/6J)	survival: embryonic lethality	41814	TAS
MGI:97530	Pdgfra	MGI:1926728	Pdgfra<tm2Sor>	MGI:1926728	Pdgfra<tm2Sor>	either: (129S4/SvJaeSor-Pdgfra<tm2Sor>) # (involves: 129S4/SvJaeSor # C57BL/6J)	embryogenesis: developmental patterning abnormalities	41814	TAS
MGI:97530	Pdgfra	MGI:1926728	Pdgfra<tm2Sor>	MGI:1926728	Pdgfra<tm2Sor>	either: (129S4/SvJaeSor-Pdgfra<tm2Sor>) # (involves: 129S4/SvJaeSor # C57BL/6J)	growth/weight abnormality: embryonic	41814	TAS
MGI:97530	Pdgfra	MGI:1926728	Pdgfra<tm2Sor>	MGI:1926728	Pdgfra<tm2Sor>	either: (129S4/SvJaeSor-Pdgfra<tm2Sor>) # (involves: 129S4/SvJaeSor # C57BL/6J)	skeletal: axial defects	41814	TAS
MGI:97530	Pdgfra	MGI:1926728	Pdgfra<tm2Sor>	MGI:1926728	Pdgfra<tm2Sor>	either: (129S4/SvJaeSor-Pdgfra<tm2Sor>) # (involves: 129S4/SvJaeSor # C57BL/6J)	skin: texture/condition anomalies	41814	TAS
MGI:97530	Pdgfra	MGI:1926728	Pdgfra<tm2Sor>	MGI:1926728	Pdgfra<tm2Sor>	either: (129S4/SvJaeSor-Pdgfra<tm2Sor>) # (involves: 129S4/SvJaeSor # C57BL/6J)	hematology: abnormal blood coagulation	41814	TAS
MGI:97530	Pdgfra	MGI:1926728	Pdgfra<tm2Sor>	MGI:1926728	Pdgfra<tm2Sor>	either: (129S4/SvJaeSor-Pdgfra<tm2Sor>) # (involves: 129S4/SvJaeSor # C57BL/6J)	central nervous system: neural tube defects	41814	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	B6.Cg-Ph	survival: embryonic lethality	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	B6.Cg-Ph	growth/weight abnormality: embryonic	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	B6.Cg-Ph	heart/cardiovascular system: dysmorphology	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	B6.Cg-Ph	skin: texture/condition anomalies	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	B6.Cg-Ph	central nervous system: neural tube defects	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	B6.Cg-Ph	embryogenesis: extraembryonic tissue dysmorphology	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	B6.Cg-Ph	embryogenesis: developmental patterning abnormalities	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857742	Ph<+>	B6.Cg-Ph	coat: color anomalies	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	C.B6-Ph	survival: embryonic lethality	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	C.B6-Ph	skeletal: craniofacial defects	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	C.B6-Ph	central nervous system: neural tube defects	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857742	Ph<+>	C.B6-Ph	coat: color anomalies	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	C3.B6-Ph	survival: embryonic lethality	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	C3.B6-Ph	skeletal: craniofacial defects	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857106	Ph	C3.B6-Ph	central nervous system: neural tube defects	10920	TAS
MGI:97571	Ph	MGI:1857106	Ph	MGI:1857742	Ph<+>	C3.B6-Ph	coat: color anomalies	10920	TAS
MGI:97571	Ph	MGI:1889550	Ph<3H>	MGI:1889550	Ph<3H>	102/H	survival: perinatal lethality	27502	TAS
MGI:97571	Ph	MGI:1889550	Ph<3H>	MGI:1889550	Ph<3H>	102/H	skeletal: craniofacial defects	27502	TAS
MGI:97571	Ph	MGI:1889550	Ph<3H>	MGI:1857742	Ph<+>	102/H	coat: color anomalies	27502	TAS
MGI:97571	Ph	MGI:1889551	Ph<e>	MGI:1889551	Ph<e>	STOCK Ph	survival: perinatal lethality	5811	TAS
MGI:97571	Ph	MGI:1889551	Ph<e>	MGI:1889551	Ph<e>	STOCK Ph	skeletal: craniofacial defects	5811	TAS
MGI:97571	Ph	MGI:1889551	Ph<e>	MGI:1857742	Ph<+>	STOCK Ph	coat: color anomalies	5811	TAS
MGI:1099818	Pkd2	MGI:1860840	Pkd2<tm1Sol>	MGI:1860840	Pkd2<tm1Sol>	involves: 129/Sv # C57BL/6J # SJL	kidney/renal system: dysmorphology	47035	TAS
MGI:1099818	Pkd2	MGI:1860840	Pkd2<tm1Sol>	MGI:1860840	Pkd2<tm1Sol>	involves: 129/Sv # C57BL/6J # SJL	liver/hepatic system: dysmorphology	47035	TAS
MGI:1099818	Pkd2	MGI:1860840	Pkd2<tm1Sol>	MGI:2153456	Pkd2<+>	involves: 129/Sv # C57BL/6J # SJL	kidney/renal system: dysmorphology	47035	TAS
MGI:1099818	Pkd2	MGI:1860866	Pkd2<tm2Sol>	MGI:1860866	Pkd2<tm2Sol>	involves: 129/Sv # C57BL/6J # SJL	survival: embryonic lethality	59314	TAS
MGI:1099818	Pkd2	MGI:1860866	Pkd2<tm2Sol>	MGI:1860866	Pkd2<tm2Sol>	involves: 129/Sv # C57BL/6J # SJL	heart/cardiovascular system: dysmorphology	59314	TAS
MGI:1099818	Pkd2	MGI:1860866	Pkd2<tm2Sol>	MGI:1860866	Pkd2<tm2Sol>	involves: 129/Sv # C57BL/6J # SJL	kidney/renal system: dysmorphology	59314	TAS
MGI:1099818	Pkd2	MGI:1860866	Pkd2<tm2Sol>	MGI:1860866	Pkd2<tm2Sol>	involves: 129/Sv # C57BL/6J # SJL	endocrine glands: dysmorphology	59314	TAS
MGI:1099818	Pkd2	MGI:1860866	Pkd2<tm2Sol>	MGI:2153456	Pkd2<+>	involves: 129/Sv # C57BL/6J # SJL	kidney/renal system: dysmorphology	59314	TAS
MGI:1099818	Pkd2	MGI:1860866	Pkd2<tm2Sol>	MGI:2153456	Pkd2<+>	involves: 129/Sv # C57BL/6J # SJL	liver/hepatic system: dysmorphology	59314	TAS
MGI:1099818	Pkd2	MGI:1860866	Pkd2<tm2Sol>	MGI:2153456	Pkd2<+>	involves: 129/Sv # C57BL/6J # SJL	survival: premature death	59314	TAS
MGI:97631	Pmp22	MGI:1862010	Pmp22<Tr-1H>	MGI:2153457	Pmp22<+>	involves: BALB/c # C3H  	peripheral nervous system: dysmorphology	63816	TAS
MGI:97631	Pmp22	MGI:1862011	Pmp22<Tr-2H>	MGI:2153457	Pmp22<+>	involves: BALB/c # C3H  	peripheral nervous system: dysmorphology	63816	TAS
MGI:1100882	Pmx2b	MGI:1926861	Pmx2b<tm1Jbr>	MGI:1926861	Pmx2b<tm1Jbr>	Not Specified	survival: embryonic lethality	55391	TAS
MGI:1100882	Pmx2b	MGI:1926861	Pmx2b<tm1Jbr>	MGI:1926861	Pmx2b<tm1Jbr>	Not Specified	central nervous system: other dysmorphology	55391	TAS
MGI:97769	Prnp	MGI:1888773	Prnp<tm1Cwe>	MGI:1888773	Prnp<tm1Cwe>	involves: 129S7/SvEvBrd-Hprt+ # C57BL/6	no obvious phenotype: no defect detected	472	TAS
MGI:97769	Prnp	MGI:1888773	Prnp<tm1Cwe>	MGI:1888773	Prnp<tm1Cwe>	involves: 129S7/SvEvBrd-Hprt+ # C57BL/6	neurological/behavioral: no defect detected	472	TAS
MGI:97769	Prnp	MGI:1888773	Prnp<tm1Cwe>	MGI:1888773	Prnp<tm1Cwe>	involves: 129S7/SvEvBrd-Hprt+ # C57BL/6	immune system: no defect detected	472	TAS
MGI:97769	Prnp	MGI:1888773	Prnp<tm1Cwe>	MGI:1888773	Prnp<tm1Cwe>	involves: 129S7/SvEvBrd-Hprt+ # C57BL/6	central nervous system: LTP anomalies	19948	TAS
MGI:97769	Prnp	MGI:1888773	Prnp<tm1Cwe>	MGI:1888773	Prnp<tm1Cwe>	involves: 129S7/SvEvBrd-Hprt+ # C57BL/6	central nervous system: other functional anomalies	19948	TAS
MGI:97769	Prnp	MGI:1934274	Prnp<tm1Edin>	MGI:1934274	Prnp<tm1Edin>	129P2/OlaHsd-Prnp<tm1Edin>	other aberrant phenotype	58820	TAS
MGI:97769	Prnp	MGI:1934272	Prnp<tm1Miy>	MGI:1934272	Prnp<tm1Miy>	involves: 129S4/SvJae # C57BL/6	other aberrant phenotype	69186	TAS
MGI:97769	Prnp	MGI:1934272	Prnp<tm1Miy>	MGI:1934272	Prnp<tm1Miy>	involves: 129S4/SvJae # C57BL/6	neurological/behavioral: motor capabilities/coordination/movement anomalies	32240	TAS
MGI:97769	Prnp	MGI:1934272	Prnp<tm1Miy>	MGI:1934272	Prnp<tm1Miy>	involves: 129S4/SvJae # C57BL/6	central nervous system: brain dysmorphology	32240	TAS
MGI:97769	Prnp	MGI:1934273	Prnp<tm1Rcm>	MGI:1934273	Prnp<tm1Rcm>	129P2/OlaHsd-Prnp<tm1Rcm>	other aberrant phenotype	45908	TAS
MGI:1860488	Proz	MGI:1931524	Proz<tm1Gjb>	MGI:1931524	Proz<tm1Gjb>	involves: 129X1/SvJ # C57BL/6	no obvious phenotype: no defect detected	62716	TAS
MGI:99422	Rapsn	MGI:2148091	Rapsn<tm1Jrs>	MGI:2148091	Rapsn<tm1Jrs>	involves: 129X1/SvJ # 129S1/Sv	survival: perinatal lethality	28777	TAS
MGI:99422	Rapsn	MGI:2148091	Rapsn<tm1Jrs>	MGI:2148091	Rapsn<tm1Jrs>	involves: 129X1/SvJ # 129S1/Sv	respiratory system: respiratory distress or failure/functional anomalies	28777	TAS
MGI:99422	Rapsn	MGI:2148091	Rapsn<tm1Jrs>	MGI:2148091	Rapsn<tm1Jrs>	involves: 129X1/SvJ # 129S1/Sv	neurological/behavioral: motor capabilities/coordination/movement anomalies	28777	TAS
MGI:99422	Rapsn	MGI:2148091	Rapsn<tm1Jrs>	MGI:2148091	Rapsn<tm1Jrs>	involves: 129X1/SvJ # 129S1/Sv	musculature: no defect detected	28777	TAS
MGI:99422	Rapsn	MGI:2148091	Rapsn<tm1Jrs>	MGI:2148091	Rapsn<tm1Jrs>	involves: 129X1/SvJ # 129S1/Sv	heart/cardiovascular system: no defect detected	28777	TAS
MGI:99422	Rapsn	MGI:2148091	Rapsn<tm1Jrs>	MGI:2148091	Rapsn<tm1Jrs>	involves: 129X1/SvJ # 129S1/Sv	kidney/renal system: no defect detected	28777	TAS
MGI:107974	rlc	MGI:1861664	rlc	MGI:1861664	rlc	C.Cg-rlc	eye: corneal or lens defect	38732	TAS
MGI:1861996	Rob	MGI:1862020	Rob	MGI:2153467	Rob<+>	involves: BALB/c # C3H/HeN	neurological/behavioral: motor capabilities/coordination/movement anomalies	63816	TAS
MGI:104661	Rora	MGI:1857035	Rora<sg>	MGI:1857035	Rora<sg>	involves: obese stock	neurological/behavioral: motor capabilities/coordination/movement anomalies	13140	TAS
MGI:104661	Rora	MGI:1857035	Rora<sg>	MGI:1857035	Rora<sg>	involves: obese stock	survival: postnatal lethality	13140	TAS
MGI:104661	Rora	MGI:1857035	Rora<sg>	MGI:1857035	Rora<sg>	involves: obese stock	central nervous system: brain dysmorphology	13140	TAS
MGI:104661	Rora	MGI:1926597	Rora<tm1Mba>	MGI:1926597	Rora<tm1Mba>	involves: 129P2/OlaHsd # C57BL/6	neurological/behavioral: motor capabilities/coordination/movement anomalies	46854	TAS
MGI:104661	Rora	MGI:1926597	Rora<tm1Mba>	MGI:1926597	Rora<tm1Mba>	involves: 129P2/OlaHsd # C57BL/6	survival: postnatal lethality	46854	TAS
MGI:104661	Rora	MGI:1926597	Rora<tm1Mba>	MGI:1926597	Rora<tm1Mba>	involves: 129P2/OlaHsd # C57BL/6	central nervous system: brain dysmorphology	46854	TAS
MGI:104661	Rora	MGI:1926597	Rora<tm1Mba>	MGI:1926597	Rora<tm1Mba>	involves: 129P2/OlaHsd # C57BL/6	coat: hair growth defects	46854	TAS
MGI:104661	Rora	MGI:1933211	Rora<tm1Vgi>	MGI:1933211	Rora<tm1Vgi>	involves: 129X1/SvJ # 129S1/Sv # ICR	neurological/behavioral: motor capabilities/coordination/movement anomalies	46140	TAS
MGI:104661	Rora	MGI:1933211	Rora<tm1Vgi>	MGI:1933211	Rora<tm1Vgi>	involves: 129X1/SvJ # 129S1/Sv # ICR	survival: postnatal lethality	46140	TAS
MGI:104661	Rora	MGI:1933211	Rora<tm1Vgi>	MGI:1933211	Rora<tm1Vgi>	involves: 129X1/SvJ # 129S1/Sv # ICR	central nervous system: brain dysmorphology	46140	TAS
MGI:98188	rs	MGI:1857022	rs	MGI:1857022	rs	C3H/HeJ	coat: color anomalies	13456	TAS
MGI:98188	rs	MGI:1857886	rs<2J>	MGI:1857886	rs<2J>	B6.129P2-B2m<tm1Unc>	coat: color anomalies	52521	TAS
MGI:98188	rs	MGI:1856889	rs<grc>	MGI:1856889	rs<grc>	wild Peruvian mice	coat: color anomalies	13977	TAS
MGI:98205	ru2	MGI:1856144	ru2	MGI:1856144	ru2	C57BL	coat: color anomalies	20282	TAS
MGI:98205	ru2	MGI:1856144	ru2	MGI:1856144	ru2	C57BL	eye: dysmorphology	20282	TAS
MGI:98205	ru2	MGI:1856547	ru2<8J>	MGI:1856547	ru2<8J>	C3H/HeJ	coat: color anomalies	29156	TAS
MGI:98205	ru2	MGI:1856547	ru2<8J>	MGI:1856547	ru2<8J>	C3H/HeJ	eye: dysmorphology	29156	TAS
MGI:98205	ru2	MGI:1856145	ru2<hz>	MGI:1856145	ru2<hz>	DBA/2J	coat: color anomalies	15055	TAS
MGI:98205	ru2	MGI:1856145	ru2<hz>	MGI:1856145	ru2<hz>	DBA/2J	eye: dysmorphology	15055	TAS
MGI:98205	ru2	MGI:1856147	ru2<J>	MGI:1856147	ru2<J>	C57BL/6J	coat: color anomalies	6422	TAS
MGI:98205	ru2	MGI:1856147	ru2<J>	MGI:1856147	ru2<J>	C57BL/6J	eye: dysmorphology	6422	TAS
MGI:98205	ru2	MGI:1856146	ru2<mr>	MGI:1856146	ru2<mr>	Not Specified	coat: color anomalies	15003	TAS
MGI:98205	ru2	MGI:1856146	ru2<mr>	MGI:1856146	ru2<mr>	Not Specified	eye: dysmorphology	15003	TAS
MGI:98205	ru2	MGI:1856146	ru2<mr>	MGI:1856146	ru2<mr>	Not Specified	heart/cardiovascular system: other functional anomalies	15003	TAS
MGI:98205	ru2	MGI:1856146	ru2<mr>	MGI:1856146	ru2<mr>	Not Specified	kidney/renal system: functional anomalies	15003	TAS
MGI:98205	ru2	MGI:1856146	ru2<mr>	MGI:1856146	ru2<mr>	Not Specified	heart/cardiovascular system: blood circulatory defects	15003	TAS
MGI:98205	ru2	MGI:1889780	ru2<r>	MGI:1889780	ru2<r>	C57BL/10	coat: color anomalies	64446	TAS
MGI:98205	ru2	MGI:1889780	ru2<r>	MGI:1889780	ru2<r>	C57BL/10	eye: dysmorphology	64446	TAS
MGI:1861992	Sagg	MGI:1862016	Sagg	MGI:2153472	Sagg<+>	involves: BALB/c # C3H  	skin: texture/condition anomalies	63816	TAS
MGI:98229	Sap	MGI:2138028	Sap<tm1Mpe>	MGI:2138028	Sap<tm1Mpe>	involves: 129/Sv #C57BL/6	reproductive system: no defect detected	42137	TAS
MGI:98229	Sap	MGI:2138028	Sap<tm1Mpe>	MGI:2138028	Sap<tm1Mpe>	involves: 129/Sv #C57BL/6	no obvious phenotype: no defect detected	42137	TAS
MGI:103169	Scn8a	MGI:1856078	Scn8a<med>	MGI:1856078	Scn8a<med>	PCT	neurological/behavioral: motor capabilities/coordination/movement anomalies	27739	TAS
MGI:103169	Scn8a	MGI:1856078	Scn8a<med>	MGI:1856078	Scn8a<med>	PCT	musculature: muscle dysmorphology	27739	TAS
MGI:103169	Scn8a	MGI:1856078	Scn8a<med>	MGI:1856078	Scn8a<med>	PCT	musculature: physiological defects	27739	TAS
MGI:103169	Scn8a	MGI:1856078	Scn8a<med>	MGI:1856078	Scn8a<med>	PCT	central nervous system: other dysmorphology	27739	TAS
MGI:103169	Scn8a	MGI:1856078	Scn8a<med>	MGI:1856078	Scn8a<med>	PCT	peripheral nervous system: dysmorphology	27739	TAS
MGI:103169	Scn8a	MGI:1856078	Scn8a<med>	MGI:1856078	Scn8a<med>	PCT	survival: postnatal lethality	27739	TAS
MGI:1861995	Scy	MGI:1862019	Scy	MGI:2153471	Scy<+>	involves: BALB/c # C3H  	neurological/behavioral: motor capabilities/coordination/movement anomalies	63816	TAS
MGI:2137677	Sfxn1	MGI:1856864	Sfxn1<f>	MGI:1856864	Sfxn1<f>	Not Specified	growth/weight abnormality: postnatal	13090	TAS
MGI:2137677	Sfxn1	MGI:1856864	Sfxn1<f>	MGI:1856864	Sfxn1<f>	Not Specified	hematology: abnormal red blood cell count/anemia	27511	TAS
MGI:2137677	Sfxn1	MGI:1856864	Sfxn1<f>	MGI:1856864	Sfxn1<f>	Not Specified	extremities: tail dysmorphology	13090	TAS
MGI:2137677	Sfxn1	MGI:1856864	Sfxn1<f>	MGI:1856864	Sfxn1<f>	Not Specified	coat: color anomalies	13090	TAS
MGI:2137677	Sfxn1	MGI:1856864	Sfxn1<f>	MGI:1856864	Sfxn1<f>	Not Specified	survival: postnatal lethality	13090	TAS
MGI:2137677	Sfxn1	MGI:1856864	Sfxn1<f>	MGI:1856864	Sfxn1<f>	Not Specified	skeletal: axial defects	13090	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	survival: embryonic lethality	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	central nervous system: brain dysmorphology	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	eye: dysmorphology	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	growth/weight abnormality: embryonic	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	embryogenesis: embryonic tissue dysmorphology	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	extremities: limb dysmorphology	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	skeletal: craniofacial defects	35802	TAS
