MGI ID of Gene	Gene Symbol	MGI ID of Allele 1	Allele 1 Symbol	MGI ID of Allele 2	Allele 2 Symbol	Strain	PhenoSlim term	J: (without the J:)	Qualifying Evidence Code	Notes (optional)				survival: embryonic lethality
MGI:88145	Bdnf	MGI:1891516	Bdnf<tm1Tbn>	MGI:1891516	Bdnf<tm1Tbn>	involves: 129S4/SvJae # NMRI	survival: postnatal lethality	64962	IMP					other aberrant phenotype
MGI:88145	Bdnf	MGI:1891516	Bdnf<tm1Tbn>	MGI:1891516	Bdnf<tm1Tbn>	involves: 129S4/SvJae # NMRI	growth/weight abnormality: postnatal	64962	IMP					no obvious phenotype: no defect detected
MGI:88145	Bdnf	MGI:1891516	Bdnf<tm1Tbn>	MGI:1891516	Bdnf<tm1Tbn>	involves: 129S4/SvJae # NMRI	neurological/behavioral: motor capabilities/coordination/movement anomalies	64962	IMP					central nervous system: brain dysmorphology
MGI:88145	Bdnf	MGI:1891516	Bdnf<tm1Tbn>	MGI:1891516	Bdnf<tm1Tbn>	involves: 129S4/SvJae # NMRI	central nervous system: other dysmorphology	64962	IMP					
MGI:88145	Bdnf	MGI:1891516	Bdnf<tm1Tbn>	MGI:1891516	Bdnf<tm1Tbn>	involves: 129S4/SvJae # NMRI	central nervous system: LTP anomalies	64962	IMP					
MGI:88145	Bdnf	MGI:1891516	Bdnf<tm1Tbn>	MGI:2158290	Bdnf<+>	involves: 129S4/SvJae # NMRI	central nervous system: LTP anomalies	64962	IMP					
MGI:88145	Bdnf	MGI:1929985	Bdnf<tm2(Ntf5)Jae>	MGI:1929985	Bdnf<tm2(Ntf5)Jae>	involves: 129S4/SvJae	growth/weight abnormality: postnatal	61340	IMP	strain note				
MGI:88145	Bdnf	MGI:1929985	Bdnf<tm2(Ntf5)Jae>	 MGI:1929985	Bdnf<tm2(Ntf5)Jae>	involves: 129S4/SvJae	neurological/behavioral: motor capabilities/coordination/movement anomalies	61340	IMP					
MGI:88145	Bdnf	MGI:1929985	Bdnf<tm2(Ntf5)Jae>	 MGI:1929985	Bdnf<tm2(Ntf5)Jae>	involves: 129S4/SvJae	neurological/behavioral: other anomalies	61340	IMP					
MGI:88145	Bdnf	MGI:1929985	Bdnf<tm2(Ntf5)Jae>	 MGI:1929985	Bdnf<tm2(Ntf5)Jae>	involves: 129S4/SvJae	reproductive system: fertility/fecundity anomalies	61340	IMP					
MGI:1861990	Bdr	MGI:1862014	Bdr	MGI:2158291	Bdr<+>	involves: C3H/HeN # BALB/c	neurological/behavioral: motor capabilities/coordination/movement anomalies	63816	IMP					
MGI:88176	Bmp1	MGI:1857952	Bmp1<tm1Blh>	MGI:1857952	Bmp1<tm1Blh>	involves:129X1/SvJ # 129S1/Sv # Black Swiss	survival: perinatal lethality	36830	IMP	pheno note				
MGI:88176	Bmp1	MGI:1857952	Bmp1<tm1Blh>	MGI:1857952	Bmp1<tm1Blh>	involves:129X1/SvJ # 129S1/Sv # Black Swiss	digestive system: dysmorphology	36830	IMP					
MGI:88176	Bmp1	MGI:1857952	Bmp1<tm1Blh>	MGI:1857952	Bmp1<tm1Blh>	involves:129X1/SvJ # 129S1/Sv # Black Swiss	embryogenesis: extraembryonic tissue dysmorphology	36830	IMP					
MGI:88176	Bmp1	MGI:1857952	Bmp1<tm1Blh>	MGI:1857952	Bmp1<tm1Blh>	involves:129X1/SvJ # 129S1/Sv # Black Swiss	embryogenesis: embryonic tissue dysmorphology	36830	IMP					
MGI:88176	Bmp1	MGI:1857952	Bmp1<tm1Blh>	MGI:1857952	Bmp1<tm1Blh>	involves:129X1/SvJ # 129S1/Sv # Black Swiss	skeletal: craniofacial defects	36830	IMP					
MGI:88176	Bmp1	MGI:1857952	Bmp1<tm1Blh>	MGI:1857952	Bmp1<tm1Blh>	involves:129X1/SvJ # 129S1/Sv # Black Swiss	skeletal: craniofacial defects	36830	IMP					
MGI:88181	Bmp5	MGI:1858106	Bmp5<se-2OZb>	MGI:1858106	Bmp5<se-2OZb>	involves: C3H/Rl x 101/Rl	ears: dysmorphology	3046	IMP	
