MGI_ID	BACKGROUND	GENE SYMBOL	STRAIN TYPE	TJL #	SPECIES	Std/Nonstd
14325	(129/Rl x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
13092	(129/Rl-p Tyr<c-ch>/p Tyr<c-ch> x M. spretus)F1	p, Tyr	F1 hybrid		M. m. domesticus and M. spretus	Standard
29665	(129/Sv x C57BL/6) x (129/Sv x CD1)F1		F1 hybrid			Standard
29387	(129/Sv x C57BL/6)F1		F1 hybrid			Standard
30175	(129/Sv x CD1)F1		Inbred and outbred			Nonstandard
29508	(129/Sv x FVB/N)F1		F1 hybrid			Standard
6260	(129/Sv x Stock t<Ae5>)F1	t	F1 hybrid			Standard
29919	(129/Sv-Chx10<or-J> Spi1<a> x C57BL/6J-+Spi1<o>/+ Spi1<o>)F1	Chx10, Spi1	F1 hybrid			Standard
29966	(129/Sv-Chx10<or-J>/Chx10<or-J> x CASA/Rk)F1	Chx10	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
14140	(129/Sv-Cryge<Elo> x MOL-MIT)F1	Cryge	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
29672	(129/SvEv x Black Swiss)		Outbred			Nonstandard
30221	(129/SvEv x C57BL/6)F1					Standard
29260	(129/SvEv x C57BL/6J)F1		F1 hybrid			Standard
13761	(129P1/Re x C57BL/6J)F1		F1 hybrid			Standard
29648	(129P1/ReJ x C57BL/6J)F1		F1 hybrid			Standard
14468	(129P1/ReJ-Cchl1a3<mdg> x SEG)F1	Cchl1a3	F1 hybrid		M. m. domesticus and M. spretus	Standard
29487	(129P2/Ola x BALB/c)F1		F1 hybrid			Standard
29486	(129P2/Ola x C57BL/6)F1		F1 hybrid			Standard
16938	(129S1/Sv-Mgf<Sl> x 129S1/Sv-Mgf<Sl> Cryge<Elo>)F1	Mgf, Cryge	F1 hybrid			Standard
29209	(129S1/SvJ-Chx10<or-J> Spi1<a> x C57BL/6J-+Spi1<o>/+ Spi1<o>)F1	Chx10, Spi1	F1 hybrid			Standard
15417	(129S1/SvJ-Chx10<or-J> Spi1<a> x C57BL/6J-+Spi1<o>/+Spi1<o>)F1	Chx10, Spi1	F1 hybrid			Standard
29842	(129S1/SvJ-Mgf<Sl>/+ x MOL-MIT)F1	Mgf	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
29488	(129S6/SvEv x C57BL/6)F1		F1 hybrid			Standard
15418	(129X1/Sv-Chx10<or-J>/Chx10<or-J> x CASA/Rk)F1	Chx10	F1 hybrid			Standard
14095	(129X1/SvJ-Mgf<Sl>/+ x MOL-MIT)F1	Mgf	F1 hybrid			Standard
15155	(3H1 or C3H x M. spretus)F1				M. m. domesticus and M. spretus	Nonstandard
14121	(3H1 x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
29480	(3H1-fnld/+ x M. spretus)F1	fnld	F1 hybrid			Standard
15446	(A.BY/SnJ x MOLD/Rk)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
13031	(A.SW/Sn x NZB/Pt)F1		F1 hybrid			Standard
16188	(A.TL x DBA/1J)F1		F1 hybrid			Standard
16088	(A.TL-tch/tch x MEV/Ty)F1	tch	F1 hybrid			Standard
15802	(A/Cam x CBA/FaCam)F1		F1 hybrid			Standard
16472	(A/J x B10.BR)F1		F1 hybrid			Standard
13863	(A/J x BTBRTF)F1		F1 hybrid			Standard
15655	(A/J x C3H/He)F1		F1 hybrid			Standard
12605	(A/J x C57BL/10)F1		F1 hybrid			Standard
29441	(A/J x C57BL/6)F1		F1 hybrid			Standard
13454	(A/J x C57BL/6J)F1		F1 hybrid			Standard
14327	(A/J x C57BL/6J-fz ln)F1	fz, ln	F1 hybrid			Standard
14695	(A/J x C58/J)F1		F1 hybrid			Standard
15390	(A/J x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
16631	(A/J x MOA)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
13280	(A/J x Swiss Webster)F1		F1 hybrid			Standard
14996	(A/N x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
13105	(A/Rl x C58/J)F1		F1 hybrid			Standard
13770	(A/WySnA x AKR/Han)F1		F1 hybrid			Standard
13051	(A/WySnA x M. m. castaneus)F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
12727	(A/WySnA x M. m. molossinus)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
13289	(A2G x C57BL/6J-md)F1	md	F1 hybrid			Standard
14510	(A2G-Clcn1<adr>/+ x SEG +/+)F1	Clcn1	F1 hybrid		M. m. domesticus and M. spretus	Standard
14779	(A2G-Clcn1<adr>/+ x SEG)F1	Clcn1	F1 hybrid		M. m. domesticus and M. spretus	Standard
6544	(AB x T6)F1		F1 hybrid			Standard
16492	(ABP/J x BALB/Mo)F1		F1 hybrid			Standard
16500	(ABP/Le x BALB/Ci-Bld/+)F1	Bld	F1 hybrid			Standard
13219	(ABP/Le x EL)F1		F1 hybrid			Standard
16063	(AEJ x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
14145	(AEJ/Gn x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
14881	(AEJ/Gn-a Gdf5<bp-H>/a Gdf5<bp-H> x M. spretus)F1	Gdf5, a	F1 hybrid		M. m. domesticus and M. spretus	Standard
14207	(AEJ/Gn-a Gdf5<bp>/a Gdf5<bp> x M. spretus)F1	a, Gdf5	F1 hybrid		M. m. domesticus and M. spretus	Standard
14135	(AKR or LFA or LVI x SEG)F1				M. m. domesticus and M. spretus	Nonstandard
13154	(AKR x A/St)F1		F1 hybrid			Standard
13151	(AKR x BALB/c)F1		F1 hybrid			Standard
13817	(AKR x DBA/2)F1		F1 hybrid			Standard
12833	(AKR/ABom x Stock cw)F1	cw	F1 hybrid			Standard
13771	(AKR/Han x SEG/1)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
13995	(AKR/J C58/J or NFS/N x SKIVE)F1					Nonstandard
13604	(AKR/J NFS/N or C58/J x SKIVE)F1					Nonstandard
12668	(AKR/J x C3H/HeJ)F1		F1 hybrid			Standard
12765	(AKR/J x C57BL)F1		F1 hybrid			Standard
12890	(AKR/J x C57BL/6-Tyrp1<b> m)F1	Tyrp1	F1 hybrid			Standard
14432	(AKR/J x C57BL/6Ei-Pmp22<Tr-J> Re)F1	Re, Pmp22	F1 hybrid			Standard
13456	(AKR/J x C57BL/6J)F1		F1 hybrid			Standard
14245	(AKR/J x C57BL/6J-Apc<Min>/+)F1	Apc	F1 hybrid			Standard
13302	(AKR/J x C57BL/6JEi-Pmp22<Tr-J> Re)F1	Re, Pmp22	F1 hybrid			Standard
14402	(AKR/J x C57L/J)F1		F1 hybrid			Standard
13152	(AKR/J x CBA/Ca)F1		F1 hybrid			Standard
16322	(AKR/J x DBA/2J)F1		F1 hybrid			Standard
14579	(AKR/J x F/St)F1		F1 hybrid			Standard
28066	(AKR/J x FVB/N-TgN<MMTVPyMT)F1		F1 hybrid, Transgenic			Standard
12606	(AKR/J x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
13250	(AKR/J x M. spretus)F1 or (C57BL/6J-Kit<W-41>/+ x M. spretus)F1	Kit			M. m. domesticus and M. spretus	Nonstandard
15174	(AKR/J x MOL-ANJ)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
12961	(AKR/J x NZB)F1		F1 hybrid			Standard
12959	(AKR/J x NZB/BlNJ)F1		F1 hybrid			Standard
13113	(AKR/J-Tgn<cog>/Tgn<cog> x C57BL/6J-Eh/+)F1	Tgn, Eh	F1 hybrid			Standard
16272	(AKR/J-bs a x C3H/HeJ)F1	bs, a	F1 hybrid			Standard
13876	(AKR/N x SEG/1)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
13388	(AKR/N x SJL/J)F1		F1 hybrid			Standard
15940	(AKU x PWK)F1		Not Specified			Nonstandard
14430	(AKXL-8 x RSV/Le)F1		F1 hybrid			Standard
13968	(AN x M. spretus)F1		Outbred			Nonstandard
12852	(AU/SsJ x A/J)F1		F1 hybrid			Standard
29141	(AX-A<y>/a<x> x CAST/Ei-A<ct>/A<ct>)F1	A, a	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
12654	(Alb1<c> x C57BL/10J)F1	Alb1	F1 hybrid			Standard
16191	(Alb1<c> x C57BL/6J)F1	Alb1	F1 hybrid			Standard
12652	(Alb1<c> x SWR/J)F1	Alb1	F1 hybrid			Standard
15822	(Axin<Fu-kb>/+ x +129P3/J/ +129P3/J)F1	Axin	F1 hybrid			Standard
12813	(B10.129(21M) x IS/CamEi)F1		F1 hybrid			Standard
12690	(B10.129(21M)/Sn x DBA/2J)F1		F1 hybrid			Standard
13017	(B10.129(21M)/Sn x PL/J)F1		F1 hybrid			Standard
12925	(B10.129(5M) x C57BL/10)F1		F1 hybrid			Standard
12693	(B10.A x A/J)F1		F1 hybrid			Standard
15045	(B10.A x A/Wy)F1		F1 hybrid			Standard
5183	(B10.A x AKR)F1		F1 hybrid			Standard
15309	(B10.A(R209) x B10.BR)F1		F1 hybrid			Standard
14871	(B10.A(R209) x B10.CAS3(R0))F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
14867	(B10.A(R209) x B10.CAS3(R7))F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
14869	(B10.A(R209) x B10.CAS3(R8))F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
1951	(B10.A(R209) x B10.CAS3)F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
14873	(B10.A(R209) x B10.CAS4(R28))F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
12585	(B10.AKM/Sn x C3H/HeJOrl)F1		F1 hybrid			Standard
14071	(B10.BR x C58)F1		F1 hybrid			Standard
14444	(B10.BR x CSW)F1		F1 hybrid			Standard
14719	(B10.BR x M. m. bactrianus)F1		F1 hybrid		M. m. domesticus and M. m. bactrianus	Standard
14718	(B10.BR x M. m. molossinus)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
15291	(B10.BR x M. m. musculus)F1		F1 hybrid		M. m. domesticus and M. m. musculus	Standard
12655	(B10.BUA16 x THF)F1		Not Specified			Nonstandard
13128	(B10.CAS2 x SPE1)F1		F1 hybrid		M. m. domesticus and M. m. molossinus and M. m. castaneus	Standard
14860	(B10.CAS3 x B10.MOL-SGR)F1		F1 hybrid			Standard
29505	(B10.D2 x BALB/c)F1		F1 hybrid			Standard
15363	(B10.D2 x MA/MyJ)F1		F1 hybrid			Standard
13380	(B10.D2(58N)/Sn x DBA/2J)F1		F1 hybrid			Standard
13386	(B10.D2/nSn-Hx x C3H/HeJ)F1	Hx	F1 hybrid			Standard
13344	(B10.D2/oSn-Hx/+ x C3H/HeJ)F1	Hx	F1 hybrid			Standard
15654	(B10.F(13R) x A.TL)F1		F1 hybrid			Standard
15652	(B10.F(13R) x B10.S(9R))F1		F1 hybrid			Standard
15792	(B10.H2<g7> x NOD)F1	H2	F1 hybrid			Standard
14714	(B10.H2<g7> x NOD/Mrk)F1	H2	F1 hybrid			Standard
13155	(B10.HA(33NX)-Myo6<sv> x SEC/1-Bmp5<se>)F1	Myo6, Bmp5	F1 hybrid			Standard
12923	(B10.LP x 129)F1		F1 hybrid			Standard
13643	(B10.LP-H13<b> x B10.PA(L)-pa we Pax1<un> a<t>)F1	H13, pa, we, Pax1, a	F1 hybrid			Standard
15176	(B10.LP-H3<a> x C57BL/10Sn)F1 or (B10.UW-H3<a> x C57BL/10Sn)F1	H3				Nonstandard
16346	(B10.M x I/StDa)F1		F1 hybrid			Standard
14866	(B10.MOL-SGR x B10.CAS3(R0))F1		F1 hybrid		M. m. domesticus and M. m. molossinus and M. m. castaneus	Standard
14861	(B10.MOL-SGR x B10.CAS3(R1))F1		F1 hybrid		M. m. domesticus and M. m. molossinus and M. m. castaneus	Standard
14864	(B10.MOL-SGR x B10.CAS3(R7))F1		F1 hybrid		M. m. domesticus and M. m. molossinus and M. m. castaneus	Standard
14865	(B10.MOL-SGR x B10.CAS3(R8))F1		F1 hybrid		M. m. domesticus and M. m. molossinus and M. m. castaneus	Standard
1939	(B10.MOL-SGR x B10.CAS4(R28))F1		F1 hybrid		M. m. domesticus and M. m. molossinus and M. m. castaneus	Standard
1937	(B10.MOL-SGR x B10.D2)F1		F1 hybrid		M. m. molossinus	Standard
15156	(B10.S x SJL/J)F1		F1 hybrid			Standard
14717	(B10.SM x B10.WB)F1		F1 hybrid			Standard
14716	(B10.SM x B10.WR)F1		F1 hybrid			Standard
15182	(B10.UW-H3<b>/Sn x C57BL/10Sn)F1	H3	F1 hybrid			Standard
29032	(B6.BKS-av<J>/av<J> x CASA/Rk)F1	av	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
14279	(B6.I/Co x B10.UW/Sn)F1		F1 hybrid			Standard
14192	(B6.KB2/Msr-mnd x AKR/J or C3H/HeJ)F1					Nonstandard
13679	(B6.PL x C57BL/10J)F1		F1 hybrid			Standard
16787	(B6.PL x C57BL/6J)F1		F1 hybrid			Standard
12644	(B6C3F1-a Wc x M. m. molossinus)F1	a, Wc	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
21444	(B6C3F1-a/a Hoxa13<Hd> Va<J> x CASA/Rk)F1	a, Hoxa13, Va	F1 hybrid			Standard
15306	(B6C3F1-a/a Hoxa13<Hd> Va<J> x CASA/Rk)F1-Hoxa13<Hd>/+)F1 and C57BL/6J					Nonstandard
19141	(B6C3Fe-Glra1<spd>/Glra1<spd> x CASA/Rk)F1	Glra1	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
14748	(B6C3Fe-Papss2<bm> ep ru/Papss2<bm> ep ru x PWK)F1	Papss2, ep, ru	F1 hybrid		M. m. domesticus and M. m. musculus	Standard
16561	(B6C3Fe-a/a Glra1<spd>/Glra1<spd> x C57BL/6J-Pmp22<Tr-J> Re)F1	a, Glra1, Pmp22, Re	F1 hybrid			Standard
15421	(B6C3Fe-a/a Hoxa13<Hd> x M. spretus)F1	a, Hoxa13	F1 hybrid		M. m. domesticus and M. spretus	Standard
13334	(B6C3Fe-a/a hyh/+ x ABP/Le)F1-hyh/+	a, hyh	F1 hybrid			Standard
15680	(B6C3Fe-a/a-myd/+ x CAST/Ei)F1	a, myd	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
15540	(B6C3H x BALB/cJ)F1-Phex<Gy>/+	Phex	F1 hybrid			Standard
15917	(B6C3H-Ul x MOLF/Ei)F1	Ul	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
14007	(B6C3H-Ul/+ x BALB/cGaBc-Far/+)F1	Ul, Far	F1 hybrid			Standard
15915	(B6C3H-Ul/+ x CAST/Ei)F1	Ul	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
15914	(B6C3H-Ul/+ x FVB/N)F1	Ul	F1 hybrid			Standard
15921	(B6C3H-Ul/+ x MOLF/Ei)F1	Ul	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
14568	(B6CARB.I x SPE)F1					
13449	(B6CBA-A<w-J) x A Nsdhl<Bpa>)F1	A, Nsdhl	F1 hybrid			Standard
13871	(B6CBA-A<w-J> x M. spretus)F1	A	F1 hybrid		M. m. domesticus and M. spretus	Standard
13869	(B6CBA-A<w-J> x M. spretus)F1 +/+	A	F1 hybrid		M. m. domesticus and M. spretus	Standard
16085	(B6CBA-A<w-J>-Grid2<Lc> x CAST/Ei)F1	A, Grid2	F1 hybrid			Standard
30177	(B6CBA-A<w-J>/A Nsdhl<Bpa >x M. spretus)F1	A, Nsdhl	F1 hybrid		M. m. domesticus and M. spretus	Standard
13451	(B6CBA-A<w-J>/A Nsdhl<Bpa> x M. spretus)F1	A, Nsdhl	F1 hybrid		M. m. domesticus and M. spretus	Standard
13868	(B6CBA-A<w-J>/A Nsdhl<Bpa> x M. spretus)F1-Nsdhl<Bpa>/+	A, Nsdhl	Mutant stock		M. m. domesticus and M. spretus	Standard
13450	(B6CBA-A<w-J>/A Nsdhl<Bpa>)F1	A, Nsdhl	F1 hybrid			Standard
15495	(B6CBACa-A<w-J> Kcnj6<wv> x MOLD/Rk)F1	A, Kcnj6	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
15373	(B6CBACa-A<w-J>/A Grid2<Lc> x M. m. castaneus)F1	A, Grid2	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
30143	(B6CBAF1 x C57BL)F1		F1 hybrid			Standard
13479	(B6CBAR1 x SPE/Pas)F1		F1 hybrid			Standard
13427	(B6CBAR1-Ta/+ x SPE/Pas)F1	Ta	F1 hybrid			Standard
14575	(B6CBAR1/Pas x SPE/Pas)F1		F1 hybrid			Standard
15372	(B6J.101/H-Tsk2/+ x CAST/Ei)F1	Tsk2	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
15969	(B6J.C3H/HeJ-v<Alb>/v<Alb> x CAST/Ei)F1	Tyr	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
12766	(BALB x C57BL)F1		F1 hybrid			Standard
12764	(BALB x SEC)F1		F1 hybrid			Standard
13320	(BALB.B x GR/A)F1		F1 hybrid			Standard
14025	(BALB/AnPt x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
12968	(BALB/Ci-Bld/+ x C57BL/6J-uw/uw)F1	Bld, uw	F1 hybrid			Standard
28623	(BALB/c +/+ x C57BL/6J-sla)F1	sla	F1 hybrid			Standard
28624	(BALB/c +/+ x C57BL/6J-sla)F1 and C57BL/6J-sla/-	sla				Nonstandard
28627	(BALB/c +/+ x C57BL/6J-sla/-)F1	sla	F1 hybrid			Standard
16473	(BALB/c and (C57BL/6 x M. spretus))F1 x C57BL/6				M. m. domesticus and M. spretus	Nonstandard
13131	(BALB/c or BALB congenic x BAC-LAH)		Not Specified			Nonstandard
14735	(BALB/c x (BALB/c x DBA/LifA))F1					Nonstandard
4844	(BALB/c x 129)F2		F2 hybrid			Standard
8247	(BALB/c x 129X1/SvJ)F2		F2 hybrid			Standard
16709	(BALB/c x AKR)F1		F1 hybrid			Standard
12326	(BALB/c x AKR-Rb(6.15)1Ald)F1 x BALB/c	Rb(6.15)1Ald	F1 hybrid			Standard
14941	(BALB/c x B6CSEG)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
12849	(BALB/c x BJR-ru2 p)F1	ru2, p	F1 hybrid			Standard
4670	(BALB/c x C.B17)F1		F1 hybrid			Standard
28628	(BALB/c x C3H)F1		F1 hybrid			Standard
15499	(BALB/c x C3H.OH)F1		F1 hybrid			Standard
14560	(BALB/c x C3H.RV)F1		F1 hybrid			Standard
12618	(BALB/c x C57BL/6)F1		F1 hybrid			Standard
29538	(BALB/c x C57BL/6)F2		F2 hybrid			Standard
12974	(BALB/c x C57BL/6-m)F1	m	F1 hybrid			Standard
15085	(BALB/c x C57BL/6J)F1		F1 hybrid			Standard
28625	(BALB/c x C57BL/6J-sla)F1	sla	F1 hybrid			Standard
28626	(BALB/c x C57BL/6J-sla/-)F1	sla	F1 hybrid			Standard
12757	(BALB/c x C57BL/An)F1		F1 hybrid			Standard
14073	(BALB/c x C58)F1		F1 hybrid			Standard
15333	(BALB/c x CASA/Rk)F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
15441	(BALB/c x CAST/Ei)F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
29717	(BALB/c x CBA/N)F1		F1 hybrid			Standard
13617	(BALB/c x CL)F1		F1 hybrid			Standard
13373	(BALB/c x CLA)F2		F2 hybrid			Standard
17653	(BALB/c x CcS-19)F1		Recombinant congenic			Standard
15789	(BALB/c x DBA/2)F1		F1 hybrid			Standard
15990	(BALB/c x DBA/2J)F1		F1 hybrid			Standard
18268	(BALB/c x DBA/LifA)F1		F1 hybrid			Standard
17855	(BALB/c x DDK)F1		F1 hybrid			Standard
12740	(BALB/c x GO)F1		F1 hybrid			Standard
13142	(BALB/c x GR-Mtv2<b>)F1	Mtv2	F1 hybrid			Standard
13143	(BALB/c x GR-Mtv2<b>)F1 x BALB/c	Mtv2	F1 hybrid			Standard
28698	(BALB/c x HCI)F1		F1 hybrid			Standard
12713	(BALB/c x LIVA)F1		Linkage stock			Standard
13613	(BALB/c x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
14399	(BALB/c x MOA)F1		F1 hybrid			Standard
15173	(BALB/c x MOL-ANJ)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
29139	(BALB/c x MOL-Anf)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
13538	(BALB/c x MOL-MIT)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
12956	(BALB/c x MOLF/Ei)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
12726	(BALB/c x MOM)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
7310	(BALB/c x NC)F1		F1 hybrid			Standard
15439	(BALB/c x NZW)F1		F1 hybrid			Standard
13405	(BALB/c x RSV)F1-Re/+	Re	F1 hybrid			Standard
12911	(BALB/c x SWR)F1		F1 hybrid			Standard
13645	(BALB/c x Stock Cs<b>)F1	Cs	F1 hybrid			Standard
15879	(BALB/c x Stock bpk/+)F1	bpk	F1 hybrid			Standard
12979	(BALB/c x T stock)F1	T	F1 hybrid			Standard
13867	(BALB/c x WHT/Ht)F1		F1 hybrid			Standard
28796	(BALB/c, CFW or FU x C57BL/6J)F1					Nonstandard
13106	(BALB/c-Fv4<r> x DBA/2)F1	Fv4	F1 hybrid			Standard
12596	(BALB/c-dyl x C57BL)F1	dyl	F1 hybrid			Standard
15651	(BALB/c-ebo/+ x PWK/Pas and DBA/2JIco)F1	ebo			M. m. domesticus and M. m. musculus	Nonstandard
28255	(BALB/c-nct/nct x MSM/Ms)F1	nct	F1 hybrid			Standard
15534	(BALB/cA-Reln<rl>/Reln<rl> x M. spretus)F1	Reln	F1 hybrid		M. m. domesticus and M. spretus	Standard
13884	(BALB/cABom x C57BL/6J)F1		F1 hybrid			Standard
13877	(BALB/cABom x C57BL/6JBom)F1		F1 hybrid			Standard
13358	(BALB/cAn x DBA/2N)F1		F1 hybrid			Standard
14306	(BALB/cAn x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
17071	(BALB/cAnPt x C.D2-Idh1 Pep3)F1	Idh1, Pep3	F1 hybrid			Standard
14059	(BALB/cAnPt x DBA/2N)F1		F1 hybrid			Standard
13306	(BALB/cAnPt x DBA/2NPt)F1		F1 hybrid			Standard
14057	(BALB/cAnPt x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
6707	(BALB/cAnPt-Rb(4.12) x C.B20)F1		Not Specified			Nonstandard
29534	(BALB/cBy x C57BL/6By)F1		F1 hybrid			Standard
30148	(BALB/cBy x CAST/Ei)F1		F1 hybrid		M. m. musculus and M. m. castaneus	Standard
29294	(BALB/cBy-Cat2<scat>/Cat2<scat> x CAST/Ei)F1	Cat2	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
15185	(BALB/cBy-fsn/fsn x CAST/Ei)F1	fsn	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
29635	(BALB/cBy-mshi/mshi x C57BL/6J)F1	mshi	F1 hybrid			Standard
19518	(BALB/cBy-mshi/mshi x C57BL/6J)F1-mshi/+	mshi	F1 hybrid			Standard
28692	(BALB/cByJ x C57BL/6J)F1	a, Hoxa13, Va	F1 hybrid			Standard
16512	(BALB/cByJ x C57BL/6J-Rb(4.15)1Rk)F1	Rb(4.15)1Rk	F1 hybrid			Standard
29165	(BALB/cByJ x Dab1<scm/>/Dab1<scm>)F1	Dab1	F1 hybrid			Standard
15874	(BALB/cByJ x Dab1<scm>/Dab1<scm>)F1	Dab1	F1 hybrid			Standard
15873	(BALB/cByJ x Dab1<scm>/Dab1<scm>)F1-Dab1<scm>/+	Dab1	F1 hybrid			Standard
16511	(BALB/cByJ x Rb(4.11)12Rma)F1	Rb(4.11)12Rma	F1 hybrid			Standard
29164	(BALB/cByJ x Stock Dab1<scm>/Dab1<scm>)F1-Dab1<scm>/+	Dab1	F1 hybrid			Standard
29187	(BALB/cByJ x Stock Rb(4.11)12Rma)F1	Rb(4.11)12Rma	F1 hybrid			Standard
16079	(BALB/cByJ-Grid2<Lc-J> x CAST/Ei)F1	Grid2	F1 hybrid			Standard
